"borough","ClosureType","EditDate","FeatureType","PropID","PropName","PropNum","SiteName","Status","longitude","latitude","Approx.Date.Closed","Approx.Date.Reopened","button","content"
"Brooklyn","Completely Locked","06/22/2020 02:20:32 PM","Exercise Equipment","B266","Star Spangled Playground","B266","Star Spangled Playground","Reopened",-73.9579531822366,40.6918960325858,"04/10/2020 12:26:32 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Star Spangled Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 01:11:04 PM","Exercise Equipment","B110","Marion Hopkinson Playground","B110","Marion Hopkinson Playground","Reopened",-73.9133197132161,40.6817811553008,"04/10/2020 05:01:31 PM","06/20/2020 12:00:00 AM","AdultExerciseEquip","Marion Hopkinson Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 03:21:15 PM","Exercise Equipment","B055","Sternberg Park","B055","Sternberg Park","Reopened",-73.9472441244316,40.7062266437065,"04/10/2020 11:36:06 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Sternberg Park, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Temporary Fencing","06/22/2020 10:00:13 AM","Exercise Equipment","X029","Lyons Square Playground","X029","Lyons Square Park","Reopened",-73.888070898547,40.822774927416,"04/14/2020 11:20:43 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Lyons Square Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/23/2020 11:03:53 AM","Exercise Equipment","Q448-ZN03","Roy Wilkins Recreation Center","Q448","Roy Wilkins Rec Center Zone 3","Reopened",-73.7738591618372,40.6881653492098,"04/12/2020 05:18:58 PM","06/23/2020 11:00:00 AM","AdultExerciseEquip","Roy Wilkins Recreation Center, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/22/2020 10:20:18 AM","Exercise Equipment","Q300-05","Kissena Corridor Park","Q300","Rachel Carson Playground","Reopened",-73.822358580418,40.749125525041,"04/11/2020 07:27:04 PM","06/22/2020 10:20:14 AM","AdultExerciseEquip","Kissena Corridor Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/19/2020 10:01:28 AM","Exercise Equipment","M064","Lillian D Wald Playground","M064","Lillian D Wald Playground","Reopened",-73.9843637297132,40.7120416457223,"04/10/2020 11:56:13 AM","06/19/2020 12:00:00 AM","AdultExerciseEquip","Lillian D Wald Playground, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","","06/23/2020 03:43:44 PM","Exercise Equipment","Q163-ZN07A","Rockaway Beach and Boardwalk Zone","Q163","Rockaway Beach and Boardwalk Zone 7a","Active",-73.8237001723139,40.581331913553,"","06/07/2020 12:00:00 AM","AdultExerciseEquip","Rockaway Beach and Boardwalk Zone, Queens, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Bronx","","04/09/2020 03:24:38 PM","Exercise Equipment","X002-ZN03","Bronx Park","X002","Bronx Park Zone 3","Active",-73.8711970119914,40.8704091318215,"","","AdultExerciseEquip","Bronx Park, Bronx, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/21/2020 07:04:08 PM","Exercise Equipment","Q131","Frank Principe Park","Q131","Frank Principe Park","Reopened",-73.9047391287144,40.7274674159166,"04/11/2020 05:53:11 PM","06/21/2020 10:00:00 AM","AdultExerciseEquip","Frank Principe Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 10:25:41 AM","Exercise Equipment","X085","Slattery Playground","X085","Slattery Playground","Reopened",-73.8984804340804,40.8573059016117,"04/16/2020 02:39:16 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Slattery Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","","06/23/2020 09:27:34 AM","Exercise Equipment","Q361","Moore Homestead Playground","Q361","Moore Homestead Playground","UnderConstruction",-73.8823970452108,40.7421419400895,"","","AdultExerciseEquip","Moore Homestead Playground, Queens, NY<br/><b>Status: </b>UnderConstruction<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 11:37:27 AM","Exercise Equipment","B283","Belmont Playground","B283","Belmont Playground","Reopened",-73.8628422086406,40.6754935543911,"04/10/2020 04:59:50 PM","06/20/2020 12:00:00 AM","AdultExerciseEquip","Belmont Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/23/2020 09:23:00 AM","Exercise Equipment","Q410","Hinton Park","Q410","Hinton Park","Reopened",-73.8549427157764,40.756011234788,"04/11/2020 05:57:18 PM","06/23/2020 09:15:00 AM","AdultExerciseEquip","Hinton Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Blocked with Barricade","06/22/2020 12:23:12 PM","Exercise Equipment","B078","Grace Playground","B078","Grace Playground","Reopened",-73.8944393083876,40.6713747400491,"04/10/2020 04:57:22 PM","06/20/2020 12:00:00 AM","AdultExerciseEquip","Grace Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 07:38:51 PM","Exercise Equipment","Q051","St. Albans Park","Q051","St. Albans Park","Reopened",-73.7793156908079,40.6930401753792,"04/12/2020 05:32:18 PM","06/21/2020 02:30:00 PM","AdultExerciseEquip","St. Albans Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
